PageRank,Degree Centrality,Closeness Centrality,Betweenness Centrality,Cluster,Node
0.0001213340740280087,0.0014216661927779356,0.0,0.0,1,1
0.0001213340740280087,0.0002843332385555871,0.0,0.0,1,2
0.0001213340740280087,0.0,0.0,0.0,1,3
0.0001213340740280087,0.0,0.0,0.0,1,4
0.0001213340740280087,0.0,0.0,0.0,1,5
0.0001213340740280087,0.0002843332385555871,0.0,0.0,1,6
0.0001213340740280087,0.0,0.0,0.0,1,7
0.0001213340740280087,0.020187659937446686,0.0,0.0,1,8
0.0001213340740280087,0.0,0.0,0.0,1,9
0.0001213340740280087,0.21978959340346885,0.0,0.0,0,10
0.0001213340740280087,0.005970998009667329,0.0,0.0,1,11
0.0001213340740280087,0.0,0.0,0.0,1,12
0.00012145989158015324,0.22064259311913562,0.0002843332385555871,6.55241266179265e-08,0,13
0.0001213340740280087,0.0,0.0,0.0,1,14
0.00012158551463080447,0.22007392664202444,0.0005686664771111743,8.105688850894246e-08,0,15
0.0001213340740280087,0.0,0.0,0.0,1,16
0.00012171175634659126,0.21950526016491326,0.0008529997156667614,8.9853760130068e-09,0,17
0.0001213340740280087,0.0,0.0,0.0,1,18
0.0001213340740280087,0.0,0.0,0.0,1,19
0.0001213340740280087,0.0,0.0,0.0,1,20
0.0001213340740280087,0.008245663918112026,0.0,0.0,1,21
0.000121838622199523,0.25277224907591694,0.0011373329542223485,1.9960514053421256e-06,0,22
0.0001219489742645986,0.21950526016491326,0.0014216661927779358,2.0217096029265298e-07,0,23
0.0001213340740280087,0.0,0.0,0.0,1,24
0.00012207641894695126,0.21978959340346885,0.0017059994313335229,5.17963013658049e-07,0,25
0.0001213340740280087,0.0,0.0,0.0,1,26
0.0001213340740280087,0.0,0.0,0.0,1,27
0.0001213340740280087,0.0,0.0,0.0,1,28
0.0001213340740280087,0.0,0.0,0.0,1,29
0.0001213340740280087,0.0,0.0,0.0,1,30
0.0001213340740280087,0.0,0.0,0.0,1,31
0.0001213340740280087,0.0,0.0,0.0,1,32
0.0001213340740280087,0.0,0.0,0.0,1,33
0.00012468776257310282,0.009098663633778788,0.0002843332385555871,5.847626554318595e-07,1,34
0.0001213340740280087,0.0,0.0,0.0,1,35
0.0001213340740280087,0.0,0.0,0.0,1,36
0.0001213340740280087,0.002843332385555871,0.0,0.0,1,37
0.00012791183934722093,0.015069661643446117,0.0005686664771111743,7.2366577583041e-05,1,38
0.0001213340740280087,0.0,0.0,0.0,1,39
0.0001213340740280087,0.0,0.0,0.0,1,40
0.00012357381332449483,0.26926357691214103,0.002274665908444697,2.970784637529921e-05,0,41
0.0001213340740280087,0.0,0.0,0.0,1,42
