Node,PageRank,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
1,0.0001213340740280087,0.0014216661927779356,0.0,0.0,0.0
2,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
3,0.0001213340740280087,0.0,0.0,0.0,0.0
4,0.0001213340740280087,0.0,0.0,0.0,0.0
5,0.0001213340740280087,0.0,0.0,0.0,0.0
6,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
7,0.0001213340740280087,0.0,0.0,0.0,0.0
8,0.0001213340740280087,0.020187659937446686,0.0,0.0,0.0
9,0.0001213340740280087,0.0,0.0,0.0,0.0
10,0.0001213340740280087,0.21978959340346885,0.0,0.0,0.0
11,0.0001213340740280087,0.005970998009667329,0.0,0.0,0.0
12,0.0001213340740280087,0.0,0.0,0.0,0.0
13,0.00012145989158015324,0.22064259311913562,0.0002843332385555871,6.55241266179265e-08,8e-323
14,0.0001213340740280087,0.0,0.0,0.0,0.0
15,0.00012158551463080447,0.22007392664202444,0.0005686664771111743,8.105688850894246e-08,1.572e-320
16,0.0001213340740280087,0.0,0.0,0.0,0.0
17,0.00012171175634659126,0.21950526016491326,0.0008529997156667614,8.9853760130068e-09,2.085876e-318
18,0.0001213340740280087,0.0,0.0,0.0,0.0
19,0.0001213340740280087,0.0,0.0,0.0,0.0
20,0.0001213340740280087,0.0,0.0,0.0,0.0
21,0.0001213340740280087,0.008245663918112026,0.0,0.0,0.0
22,0.000121838622199523,0.25277224907591694,0.0011373329542223485,1.9960514053421256e-06,2.0806619e-316
23,0.0001219489742645986,0.21950526016491326,0.0014216661927779358,2.0217096029265298e-07,1.6645295554e-314
24,0.0001213340740280087,0.0,0.0,0.0,0.0
25,0.00012207641894695126,0.21978959340346885,0.0017059994313335229,5.17963013658049e-07,1.112460586494e-312
26,0.0001213340740280087,0.0,0.0,0.0,0.0
27,0.0001213340740280087,0.0,0.0,0.0,0.0
28,0.0001213340740280087,0.0,0.0,0.0,0.0
29,0.0001213340740280087,0.0,0.0,0.0,0.0
30,0.0001213340740280087,0.0,0.0,0.0,0.0
31,0.0001213340740280087,0.0,0.0,0.0,0.0
32,0.0001213340740280087,0.0,0.0,0.0,0.0
33,0.0001213340740280087,0.0,0.0,0.0,0.0
34,0.00012468776257310282,0.009098663633778788,0.0002843332385555871,5.847626554318595e-07,8e-323
35,0.0001213340740280087,0.0,0.0,0.0,0.0
36,0.0001213340740280087,0.0,0.0,0.0,0.0
37,0.0001213340740280087,0.002843332385555871,0.0,0.0,0.0
38,0.00012791183934722093,0.015069661643446117,0.0005686664771111743,7.2366577583041e-05,1.572e-320
39,0.0001213340740280087,0.0,0.0,0.0,0.0
40,0.0001213340740280087,0.0,0.0,0.0,0.0
41,0.00012357381332449483,0.26926357691214103,0.002274665908444697,2.970784637529921e-05,6.38870222533e-311
42,0.0001213340740280087,0.0,0.0,0.0,0.0
43,0.0001213340740280087,0.0,0.0,0.0,0.0
44,0.00012230948470565164,0.21978959340346885,0.002303099232300256,3.550457780084527e-07,3.218308746021975e-309
45,0.00012334450071184108,0.005117998294000568,0.0005117998294000568,0.0,2.070155e-318
46,0.0001213340740280087,0.0,0.0,0.0,0.0
47,0.0001213340740280087,0.0,0.0,0.0,0.0
48,0.0001213340740280087,0.0,0.0,0.0,0.0
49,0.0001213340740280087,0.0,0.0,0.0,0.0
50,0.0001213340740280087,0.0,0.0,0.0,0.0
51,0.0001213340740280087,0.0,0.0,0.0,0.0
52,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
53,0.00012243764048438605,0.21950526016491326,0.0025848476232326104,2.527137003658163e-07,1.4446630371167585e-307
54,0.0001213340740280087,0.0,0.0,0.0,0.0
55,0.0001213340740280087,0.014500995166334943,0.0,0.0,0.0
56,0.00012154991392223727,0.08700597099800966,0.0014394370201876601,7.278154570535508e-07,3.15443816099811e-309
57,0.00012288676047724227,0.2533409155530281,0.003149537411692658,7.765945619993988e-06,5.988979953063539e-306
58,0.0001213340740280087,0.0,0.0,0.0,0.0
59,0.0001213340740280087,0.0,0.0,0.0,0.0
60,0.0001213340740280087,0.0,0.0,0.0,0.0
61,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
62,0.0001213340740280087,0.0,0.0,0.0,0.0
63,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
64,0.0001226782010869064,0.22064259311913562,0.0032034878210596154,8.434700825923954e-07,2.2137799548933537e-304
65,0.00012280674337492923,0.21922092692635767,0.0034830821723059423,0.0,7.523164661560507e-303
66,0.00012596535820932916,0.002843332385555871,0.0002843332385555871,1.617367682341224e-07,8e-323
67,0.0001229364376177426,0.21922092692635767,0.0037632340397063,0.0,2.36565405878479e-301
68,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
69,0.00012306644016902863,0.21950526016491326,0.004043850503901683,1.293894145872979e-06,6.924074043891692e-300
70,0.00012319658025417533,0.22064259311913562,0.004324858207503405,2.5453136784385363e-06,1.8960564171605384e-298
71,0.00012332634443991397,0.21922092692635767,0.004606198464600512,0.0,4.879240434652417e-297
72,0.0001219823417229568,0.08928063690645435,0.0021841962416315557,2.1779190393899342e-06,2.1566835927967257e-304
73,0.0001213340740280087,0.02672732442422519,0.0,0.0,0.0
74,0.0001213340740280087,0.0,0.0,0.0,0.0
75,0.0001213340740280087,0.0,0.0,0.0,0.0
76,0.00012409318040348873,0.2539095820301393,0.005415871210582612,1.103416499215207e-05,1.1845741047082611e-295
77,0.0001213340740280087,0.0005686664771111743,0.0,0.0,0.0
78,0.0001232410733967877,0.0065396644867785035,0.0002843332385555871,5.659478459840111e-07,8e-323
79,0.00012357108724018431,0.21978959340346885,0.005224623258458914,1.1658525376876324e-06,2.7226037805205043e-294
80,0.0001213340740280087,0.0,0.0,0.0,0.0
81,0.0001213340740280087,0.0088143303952232,0.0,0.0,0.0
82,0.00012570799959970557,0.2584589138470287,0.006255331248222917,4.051519597894248e-05,5.942363129008281e-293
83,0.0001213340740280087,0.0,0.0,0.0,0.0
84,0.0001213340740280087,0.0,0.0,0.0,0.0
85,0.00012265492604854637,0.08757463747512083,0.003958217978839621,1.4718432545170389e-06,1.1782478975154296e-291
86,0.00012236872262170795,0.026158657947114014,0.0002843332385555871,0.0,8e-323
87,0.00012164948314497688,0.002274665908444697,0.0015480365210248633,0.0,7.097251926590688e-303
88,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
89,0.0001213340740280087,0.0,0.0,0.0,0.0
90,0.0001213340740280087,0.0,0.0,0.0,0.0
91,0.00012381588191290476,0.21950526016491326,0.005785087815227138,5.511863202712632e-07,1.2350626927791623e-291
92,0.0001213340740280087,0.025874324708558428,0.0,0.0,0.0
93,0.00012394785952693003,0.22377025874324707,0.006065775755852525,9.914414977044329e-06,2.4505232391909513e-290
94,0.00012407756318123174,0.21922092692635767,0.006346724074901499,0.0,4.6521360655993e-289
95,0.0001213340740280087,0.0,0.0,0.0,0.0
96,0.0001213340740280087,0.0005686664771111743,0.0,0.0,0.0
97,0.0001213340740280087,0.0005686664771111743,0.0,0.0,0.0
98,0.0001213340740280087,0.0,0.0,0.0,0.0
99,0.0001213340740280087,0.0,0.0,0.0,0.0
100,0.00012421034957507806,0.21950526016491326,0.006627905836675066,2.099643986712814e-07,8.467707117038017e-288
101,0.0001213340740280087,0.0,0.0,0.0,0.0
102,0.0001213340740280087,0.0,0.0,0.0,0.0
103,0.00012434327813407815,0.22007392664202444,0.006909297696900767,4.6163388582663454e-07,1.480535011638806e-286
104,0.0001213340740280087,0.0002843332385555871,0.0,0.0,0.0
105,0.0001213340740280087,0.0,0.0,0.0,0.0
106,0.0001213340740280087,0.0,0.0,0.0,0.0
107,0.0001213340740280087,0.0,0.0,0.0,0.0
108,0.0001213340740280087,0.0034119988626670457,0.0,0.0,0.0
109,0.0001254397948900348,0.25305658231447253,0.007970808454174961,1.702854330417831e-05,2.490963260494826e-285
110,0.0001213340740280087,0.0,0.0,0.0,0.0
111,0.0001213340740280087,0.0,0.0,0.0,0.0
112,0.0001213340740280087,0.0,0.0,0.0,0.0
113,0.0001229695290963879,0.0861529712823429,0.005017645386275067,0.0,3.790130087856323e-284
114,0.0001213340740280087,0.0,0.0,0.0,0.0
115,0.0001213340740280087,0.002558999147000284,0.0,0.0,0.0
116,0.000124674612419021,0.11430196189934602,0.00535773024023371,3.851196280090326e-05,5.918084058350522e-283
117,0.0001213340740280087,0.0,0.0,0.0,0.0
118,0.0001213340740280087,0.0,0.0,0.0,0.0
119,0.000124592818220824,0.21978959340346885,0.0075264680794126,4.2060463274979125e-07,4.039221866334203e-284
120,0.0001213340740280087,0.0,0.0,0.0,0.0
121,0.0001213340740280087,0.0,0.0,0.0,0.0
122,0.0001213340740280087,0.0,0.0,0.0,0.0
123,0.0001213340740280087,0.009667330110889962,0.0,0.0,0.0
124,0.0001213340740280087,0.0,0.0,0.0,0.0
125,0.0001213340740280087,0.0,0.0,0.0,0.0
126,0.0001213340740280087,0.0,0.0,0.0,0.0
127,0.0001213340740280087,0.0014216661927779356,0.0,0.0,0.0
128,0.0001213340740280087,0.0,0.0,0.0,0.0
129,0.00022198348106375267,0.21978959340346885,0.008087701007803367,0.00013310895537114932,6.321997862009936e-283
130,0.00012146421411315538,0.0008529997156667614,0.0023477801697875627,0.0,1.8268156767216211e-298
131,0.00012651988012187497,0.25277224907591694,0.009413735600826872,1.7717497244133774e-05,1.8457538976285724e-281
132,0.0001213340740280087,0.0005686664771111743,0.0,0.0,0.0
133,0.0001213340740280087,0.0,0.0,0.0,0.0
134,0.00012526333096917424,0.032982655672448104,0.0005686664771111743,5.4306097660637284e-06,1.6e-322
135,0.000125083875590783,0.21950526016491326,0.008569671562047465,2.4644114940297013e-06,2.609844189844635e-280
136,0.00012521882021842873,0.22035825988058003,0.00884664099051361,1.0201697489151643e-05,3.6935286960524854e-279
137,0.00012158966432967606,0.005970998009667329,0.0035079185094086893,3.59415040520272e-08,8.33981942416818e-282
138,0.0001236788622255479,0.08672163775945407,0.006040916019148213,7.568262829640769e-07,2.603522343894545e-280
139,0.0001213340740280087,0.0,0.0,0.0,0.0
140,0.0001213340740280087,0.0,0.0,0.0,0.0
141,0.00012468776257310282,0.003696332101222633,0.0002843332385555871,3.450887662668928e-06,8e-323
142,0.00012535354782797355,0.2209269263576912,0.009123937699428175,7.72913833042856e-06,5.070363891804175e-278
143,0.00012548823965865833,0.21978959340346885,0.009401540344414087,6.688048423029682e-07,6.758613064658173e-277
144,0.0001213340740280087,0.0,0.0,0.0,0.0
145,0.0001213340740280087,0.011373329542223485,0.0,0.0,0.0
146,0.0001213340740280087,0.0,0.0,0.0,0.0
147,0.0001213340740280087,0.0,0.0,0.0,0.0
148,0.0001213340740280087,0.0,0.0,0.0,0.0
149,0.0001213340740280087,0.0,0.0,0.0,0.0
150,0.0001213340740280087,0.0,0.0,0.0,0.0
151,0.0001213340740280087,0.0008529997156667614,0.0,0.0,0.0
152,0.0001213340740280087,0.0,0.0,0.0,0.0
153,0.0001213340740280087,0.0,0.0,0.0,0.0
154,0.00012562398610051358,0.22064259311913562,0.00967942939763701,2.8302960831628058e-06,8.756268329015659e-276
155,0.0001213340740280087,0.0,0.0,0.0,0.0
156,0.0001213340740280087,0.0,0.0,0.0,0.0
157,0.00012575951364647794,0.22064259311913562,0.009957586958582124,3.161270295417401e-06,1.1036222566753499e-274
158,0.0001213340740280087,0.0,0.0,0.0,0.0
159,0.0001213340740280087,0.0005686664771111743,0.0,0.0,0.0
160,0.00014214518423415776,0.2573215808928063,0.01225052783138434,0.0002558897717936243,1.3543677571565574e-273
161,0.00012792039088026873,0.25305658231447253,0.012032982655672448,2.0892043568863956e-05,1.619638417440755e-272
162,0.0001213340740280087,0.0,0.0,0.0,0.0
163,0.0001213340740280087,0.0,0.0,0.0,0.0
164,0.00012614847590886177,0.21950526016491326,0.011019160069636703,4.053046394438426e-07,1.8888563864702834e-271
165,0.0001262860507781381,0.22007392664202444,0.011294892786759875,2.6605698374513134e-05,2.149782385475902e-270
166,0.0001213340740280087,0.00199033266988911,0.0,0.0,0.0
167,0.0001299222660310533,0.0088143303952232,0.0008529997156667614,1.1028371270622816e-06,2.085876e-318
168,0.0001264235886143495,0.21922092692635767,0.011570917046982454,0.0,2.389480741594369e-269
169,0.0001234465982269727,0.026158657947114014,0.0005686664771111743,0.0,1.572e-320
170,0.00012306496860682524,0.021893659368780207,0.0038820964837456163,6.033000101329664e-06,8.33981942416818e-282
171,0.0001213340740280087,0.0,0.0,0.0,0.0
172,0.0001213340740280087,0.0,0.0,0.0,0.0
173,0.00012656202869100938,0.21950526016491326,0.011847218273149464,5.251727684803913e-06,2.5954316660548957e-268
174,0.00013394207299506741,0.24907591697469433,0.013232431486625403,0.00023414406336658483,2.756653291799857e-267
175,0.0001213340740280087,0.0,0.0,0.0,0.0
176,0.0001213340740280087,0.0,0.0,0.0,0.0
177,0.0001213340740280087,0.0,0.0,0.0,0.0
178,0.00012872265599196865,0.2581745806084731,0.013932328689223769,5.2563686900479474e-05,2.8646894770223723e-266
179,0.0001213340740280087,0.0008529997156667614,0.0,0.0,0.0
180,0.00012694980182732438,0.21922092692635767,0.013011249184043701,0.0,2.91433873124969e-265
181,0.0001213340740280087,0.0,0.0,0.0,0.0
182,0.0001213340740280087,0.0,0.0,0.0,0.0
183,0.00013275105589563482,0.09525163491612168,0.009997616196080797,6.12425928868419e-05,2.886774073644471e-265
184,0.00012916032823151826,0.005117998294000568,0.0007582219694815657,0.0,2.05980395e-316
185,0.0001513969411824449,0.27324424225191923,0.0158946285046074,0.00039463938170112916,5.4907561521157114e-264
186,0.0001213340740280087,0.011088996303667898,0.0,0.0,0.0
